383, 384, 44, 23
256, 382, 45, 19
570, 531, 64, 42
182, 197, 49, 18
734, 204, 41, 17
450, 442, 45, 45
302, 333, 56, 17
354, 218, 48, 16
310, 366, 56, 21
27, 225, 42, 17
262, 247, 54, 19
244, 358, 51, 19
986, 226, 37, 20
165, 223, 52, 19
421, 242, 52, 19
614, 134, 56, 23
187, 361, 42, 17
226, 310, 38, 16
36, 313, 47, 18
505, 326, 41, 16
582, 209, 47, 20
853, 230, 44, 19
978, 394, 20, 42
113, 335, 59, 20
492, 482, 41, 39
421, 401, 43, 44
119, 362, 48, 16
903, 318, 50, 18
110, 335, 63, 20
430, 299, 55, 20
80, 413, 60, 22
524, 506, 56, 35
577, 239, 48, 20
855, 343, 48, 18
867, 261, 50, 18
