261, 382, 45, 19
383, 384, 43, 23
295, 333, 42, 18
516, 197, 38, 18
259, 355, 47, 20
787, 231, 56, 20
318, 366, 56, 22
233, 247, 54, 20
668, 237, 42, 20
613, 133, 57, 24
0, 199, 30, 19
451, 445, 43, 42
574, 532, 59, 40
523, 508, 57, 33
987, 366, 36, 43
689, 324, 40, 16
39, 311, 45, 18
118, 362, 53, 17
155, 221, 48, 18
191, 360, 49, 17
492, 483, 39, 37
924, 293, 40, 19
93, 335, 55, 19
415, 400, 47, 43
80, 412, 56, 22
66, 249, 55, 21
391, 244, 48, 20
637, 295, 54, 18
0, 227, 27, 20
838, 201, 51, 19
487, 342, 59, 20
604, 185, 49, 20
403, 214, 48, 20
222, 309, 45, 17
0, 364, 86, 37
866, 261, 50, 18
